k_a_5,ICT설비투자지수(원지수),ISM비제조업지수[미국],ISM제조업지수[미국],OECD경기선행지수[미국],OECD경기선행지수[한국],개인소득/M2[미국],개인소비지출(PCE),건설기성액(실질)(십억원)(동행),건설수주액(실질)(십억원)(선행),경기동행지수[미국],경기선행지수[미국],광공업생산지수,구인구직비율(%)(선행),기계류내수출하지수(선박제외)(2015=100)(선행),도시가계소비지출(실질)(천원)(후행),동행종합지수(2015=100),동행지수 순환변동치,무역수지,미국 정책금리(Federal Fund Rate_Policy),비농림어업취업자수(천명)(동행),비농업부문고용자수[미국],생산자물가[중국],생산자제품재고지수(2015=100)(후행),생산자제품재고지수(원지수),서비스업생산지수,선행종합지수(2015=100),선행지수 순환변동치,설비투자 총지수(계절조정),설비투자총지수(불변),소매판매(SA),소매판매(소비재상품)[중국],소매판매[Euro-Zone],소매판매액지수(2015=100)(동행),소비자물가(전체)[중국],소비자물가[Euro-Zone],소비자신뢰지수(컨퍼런스보드)[미국],소비재수입액(실질)(백만불)(후행),수입국(중국),수입액,수출국(중국),수출액,시카고PMI지수[미국],식료품및에너지제외소비자물가지수(식료품및에너지제외),실업률(NSA)[미국],외환보유액,재고율[미국],제조업내수출하지수(원지수),제조업생산-제조업,제조업생산출하-제조업,코스피지수(1980.1.4=100)(선행),필라델피아연준지수[미국],후행종합지수(2015=100)
596.54,82.8,51.6,42.3,98.8,97.6,1.802132931,6976.99,6097.6,4177.2,98.6,90.7,49.5,58.4,69.7,2029.8,57.5,99.6,213.9,5.5,19121.2,132548,90.39,65.1,31.7,67,59.3,96.7,92.9,79.7,58.37,3332.8,94.98,68.5,101.2,90.36,115.73,1685.3,92372504,12431023,130348600,12644929,42.44,77.807,4.7,88005.96571,1.44,64.962,48.36,51.915,551.8,-36.2,54.7
591.34,82.8,51.6,42.3,98.8,97.6,1.802132931,6976.99,6097.6,4177.2,98.6,90.7,49.5,58.4,69.7,2029.8,57.5,99.6,213.9,5.5,19121.2,132548,90.39,65.1,31.7,67,59.3,96.7,92.9,79.7,58.37,3332.8,94.98,68.5,101.2,90.36,115.73,1685.3,92372504,12431023,130348600,12644929,42.44,77.807,4.7,88005.96571,1.44,64.962,48.36,51.915,551.8,-36.2,54.7
617.91,82.8,51.6,42.3,98.8,97.6,1.802132931,6976.99,6097.6,4177.2,98.6,90.7,49.5,58.4,69.7,2029.8,57.5,99.6,213.9,5.5,19121.2,132548,90.39,65.1,31.7,67,59.3,96.7,92.9,79.7,58.37,3332.8,94.98,68.5,101.2,90.36,115.73,1685.3,92372504,12431023,130348600,12644929,42.44,77.807,4.7,88005.96571,1.44,64.962,48.36,51.915,551.8,-36.2,54.7
612.3,82.8,51.6,42.3,98.8,97.6,1.802132931,6976.99,6097.6,4177.2,98.6,90.7,49.5,58.4,69.7,2029.8,57.5,99.6,213.9,5.5,19121.2,132548,90.39,65.1,31.7,67,59.3,96.7,92.9,79.7,58.37,3332.8,94.98,68.5,101.2,90.36,115.73,1685.3,92372504,12431023,130348600,12644929,42.44,77.807,4.7,88005.96571,1.44,64.962,48.36,51.915,551.8,-36.2,54.7
608.48,82.8,51.6,42.3,98.8,97.6,1.802132931,6976.99,6097.6,4177.2,98.6,90.7,49.5,58.4,69.7,2029.8,57.5,99.6,213.9,5.5,19121.2,132548,90.39,65.1,31.7,67,59.3,96.7,92.9,79.7,58.37,3332.8,94.98,68.5,101.2,90.36,115.73,1685.3,92372504,12431023,130348600,12644929,42.44,77.807,4.7,88005.96571,1.44,64.962,48.36,51.915,551.8,-36.2,54.7
579.16,82.8,51.6,42.3,98.8,97.6,1.802132931,6976.99,6097.6,4177.2,98.6,90.7,49.5,58.4,69.7,2029.8,57.5,99.6,213.9,5.5,19121.2,132548,90.39,65.1,31.7,67,59.3,96.7,92.9,79.7,58.37,3332.8,94.98,68.5,101.2,90.36,115.73,1685.3,92372504,12431023,130348600,12644929,42.44,77.807,4.7,88005.96571,1.44,64.962,48.36,51.915,551.8,-36.2,54.7
586.58,82.8,51.6,42.3,98.8,97.6,1.802132931,6976.99,6097.6,4177.2,98.6,90.7,49.5,58.4,69.7,2029.8,57.5,99.6,213.9,5.5,19121.2,132548,90.39,65.1,31.7,67,59.3,96.7,92.9,79.7,58.37,3332.8,94.98,68.5,101.2,90.36,115.73,1685.3,92372504,12431023,130348600,12644929,42.44,77.807,4.7,88005.96571,1.44,64.962,48.36,51.915,551.8,-36.2,54.7
576.19,82.8,51.6,42.3,98.8,97.6,1.802132931,6976.99,6097.6,4177.2,98.6,90.7,49.5,58.4,69.7,2029.8,57.5,99.6,213.9,5.5,19121.2,132548,90.39,65.1,31.7,67,59.3,96.7,92.9,79.7,58.37,3332.8,94.98,68.5,101.2,90.36,115.73,1685.3,92372504,12431023,130348600,12644929,42.44,77.807,4.7,88005.96571,1.44,64.962,48.36,51.915,551.8,-36.2,54.7
591.57,82.9,51.3,42.1,98.5,97.2,1.79600056,6995.82,6138.1,4433.7,98.7,89.6,50.6,55.5,68.6,2026.4,57.7,99.3,621.8,5.5,19124,132617,90.09,66.1,29.7,64.5,59.6,96.7,85.8,83.6,58.2,3047.1,94.28,68.5,100,90.61,109.25,1665.7,100402840,12732258,64111216,13354074,41.56,78.112,4.6,88222.14,1.42,66.949,49.703,53.406,568.3,-29.2,54.8
595.47,82.9,51.3,42.1,98.5,97.2,1.79600056,6995.82,6138.1,4433.7,98.7,89.6,50.6,55.5,68.6,2026.4,57.7,99.3,621.8,5.5,19124,132617,90.09,66.1,29.7,64.5,59.6,96.7,85.8,83.6,58.2,3047.1,94.28,68.5,100,90.61,109.25,1665.7,100402840,12732258,64111216,13354074,41.56,78.112,4.6,88222.14,1.42,66.949,49.703,53.406,568.3,-29.2,54.8
